species,latitude,longitude
zea_mays_parv,20.6272,-104.4128
zea_mays_parv,18.8047,-100.9464
zea_mays_parv,20.4206,-102.3467
zea_mays_parv,18.9533,-99.5028
zea_mays_parv,18.975,-99.0303
zea_mays_parv,17.3864,-99.4767
zea_mays_parv,18.3828,-100.1447
zea_mays_parv,18.9631,-101.0575
zea_mays_parv,18.8419,-100.2383
zea_mays_parv,18.64,-100.3564
zea_mays_parv,19.1478,-100.355
zea_mays_parv,19.7153,-104.8031
zea_mays_parv,19.75,-104.7666667
zea_mays_parv,19.26666667,-100.4666667
zea_mays_parv,19.08333333,-100.4666667
zea_mays_parv,19.25,-100.2833333
zea_mays_parv,17.45,-99.48333333
zea_mays_parv,19.18333333,-100.2833333
zea_mays_parv,18.96666667,-99.03333333
zea_mays_parv,18.21666667,-99.23333333
zea_mays_parv,19.06666667,-100.4166667
zea_mays_parv,18.41666667,-99.96666667
zea_mays_parv,18.48555556,-99.79166667
zea_mays_parv,18.50472222,-99.78444444
zea_mays_parv,17.40666667,-99.44305556
zea_mays_parv,17.38638889,-99.47666667
zea_mays_parv,17.36527778,-99.48166667
zea_mays_parv,17.29583333,-99.47305556
zea_mays_parv,17.28666667,-99.48305556
zea_mays_parv,17.18055556,-99.51638889
zea_mays_parv,16.98222222,-99.28305556
zea_mays_parv,16.34916667,-97.02083333
zea_mays_parv,16.32388889,-97.0325
zea_mays_parv,18.97055556,-99.0536111
zea_mays_parv,18.975,-99.03027778
zea_mays_parv,18.95333333,-99.5027777
zea_mays_parv,20.61083333,-104.2258333
zea_mays_parv,20.675,-104.5091667
zea_mays_parv,19.16111111,-101.3286111
zea_mays_parv,18.9375,-101.0480556
zea_mays_parv,18.88277778,-100.9575
zea_mays_parv,18.79388889,-100.9458333
zea_mays_parv,18.80472222,-100.9463889
zea_mays_parv,18.82,-100.9155556
zea_mays_parv,18.85833333,-100.8572222
zea_mays_parv,18.86194444,-100.8441667
zea_mays_parv,19.23083333,-100.4911111
zea_mays_parv,19.28111111,-100.4344444
zea_mays_parv,20.15333333,-102.3641667
zea_mays_parv,20.62861111,-104.4197222
zea_mays_parv,19.76361111,-104.7066667
zea_mays_parv,19.94333333,-103.9952778
zea_mays_parv,19.52833333,-104.0591667
zea_mays_parv,19.89944444,-104.1716667
zea_mays_parv,19.9675,-104.0608333
zea_mays_parv,19.53611111,-104.0575
zea_mays_parv,19.93388889,-104.0647222
zea_mays_parv,19.91166667,-104.1097222
zea_mays_parv,19.34416667,-101.9444444
zea_mays_parv,19.37138889,-101.9313889
zea_mays_parv,19.91222222,-104.1102778
zea_mays_parv,19.71527778,-104.8030556
zea_mays_parv,19.44083333,-103.9844444
zea_mays_parv,19.89611111,-104.1766667
zea_mays_parv,19.77166667,-104.8433333
zea_mays_parv,19.75861111,-104.85
zea_mays_parv,19.70416667,-104.8188889
zea_mays_parv,20.80444444,-104.5408333
zea_mays_parv,20.83638889,-104.5558333
zea_mays_parv,20.81944444,-104.4136111
zea_mays_parv,20.78722222,-104.385
zea_mays_parv,20.77361111,-104.3830556
zea_mays_parv,20.77444444,-104.25
zea_mays_parv,19.55055556,-100.9180556
zea_mays_parv,19.48305556,-100.9205556
zea_mays_parv,19.46361111,-100.9116667
zea_mays_parv,19.14638889,-100.3286111
zea_mays_parv,19.14777778,-100.355
zea_mays_parv,19.07861111,-100.2658333
zea_mays_parv,19.03888889,-100.2952778
zea_mays_parv,19.02861111,-100.2958333
zea_mays_parv,18.76138889,-100.3102778
zea_mays_parv,18.64,-100.3563889
zea_mays_parv,18.81138889,-100.2983333
zea_mays_parv,18.85388889,-100.2388889
zea_mays_parv,18.89472222,-100.2088889
zea_mays_parv,18.89916667,-100.1808333
zea_mays_parv,18.84194444,-100.2383333
zea_mays_parv,18.79166667,-100.3441667
zea_mays_parv,18.9,-100.9788889
zea_mays_parv,18.91583333,-101.0002778
zea_mays_parv,18.92805556,-101.0433333
zea_mays_parv,18.96305556,-101.0575
zea_mays_parv,19.06305556,-101.1927778
zea_mays_parv,19.05888889,-101.2138889
zea_mays_parv,19.06305556,-101.2825
zea_mays_parv,18.38277778,-100.1447222
zea_mays_parv,18.39388889,-100.1083333
zea_mays_parv,18.38777778,-100.1275
zea_mays_parv,18.35027778,-99.84138889
zea_mays_parv,18.22555556,-99.2125
zea_mays_parv,18.25833333,-99.21583333
zea_mays_parv,18.25944444,-99.20666667
zea_mays_parv,18.25055556,-99.23277778
zea_mays_parv,18.43388889,-99.94555556
zea_mays_parv,18.45083333,-99.92611111
zea_mays_parv,18.41666667,-99.9675
zea_mays_parv,18.41388889,-99.90944444
zea_mays_parv,18.35638889,-99.81388889
zea_mays_mex,19.12,-98.75
zea_mays_mex,26.27,-106.97
zea_mays_mex,26.25,-106.92
zea_mays_mex,19.62,-101.18
zea_mays_mex,19.15,-98.78
zea_mays_mex,19.25,-98.85
zea_mays_mex,20.16,-101.74
zea_mays_mex,26.23,-106.95
zea_mays_mex,20.73,-101.93
zea_mays_mex,19.47,-98.92
zea_mays_mex,19.02,-98.83
zea_mays_mex,19.97,-101.75
zea_mays_mex,19.22,-98.8
zea_mays_mex,19.1,-98.88
zea_mays_mex,19.18,-98.88
zea_mays_mex,19.7,-100.57
zea_mays_mex,19.4,-101.6
zea_mays_mex,19.13,-98.77
zea_mays_mex,20.42,-102.35
zea_mays_mex,24.07,-104.52
zea_mays_mex,19.93,-101.6
zea_mays_mex,26.23,-106.97
zea_mays_mex,26.23,-106.95
zea_mays_mex,17.05,-96.72
zea_mays_mex,19.35,-98.97
zea_mays_mex,20.37,-102.18
zea_mays_mex,19.17,-98.85
zea_mays_mex,26.23,-106.95
zea_mays_mex,20.17,-101.87
zea_mays_mex,24.02,-104.48
zea_mays_mex,24.18,-104.4
zea_mays_mex,20.13,-101.1
zea_mays_mex,19.52,-98.8
zea_mays_mex,19.37,-98.97
zea_mays_mex,26.25,-106.915
zea_mays_mex,20.12,-101.93
zea_mays_mex,18.95,-99.503
zea_mays_mex,19.68,-100.64
zea_mays_mex,19.14,-98.7733
zea_mays_mex,19.24,-98.8368
zea_mays_mex,19.38,-99.6303
zea_mays_mex,19.22,-98.8427
zea_mays_mex,19.42,-101.613
zea_mays_mex,18.97,-99.0551
zea_mays_mex,20.11,-101.49
zea_mays_mex,20.17,-102.373
zea_mays_mex,19.09,-98.4935
zea_mays_mex,19.12,-99.5896
zea_mays_mex,26.25,-106.915
zea_mays_mex,18.97,-99.0298
zea_mays_mex,19.42,-101.642
zea_mays_mex,19.29,-99.0827
